,0,1
0,The,DT
1,Project,NNP
2,Gutenberg,NNP
3,EBook,NNP
4,Pride,NNP
5,Prejudice,NNP
6,Jane,NNP
7,Austen,NNP
8,This,DT
9,eBook,NN
10,use,NN
11,anyone,NN
12,anywhere,RB
13,cost,VBZ
14,almost,RB
15,restrictions,NNS
16,whatsoever,IN
17,You,PRP
18,may,MD
19,copy,VB
20,give,VB
21,away,RP
22,reuse,NN
23,terms,NNS
24,License,NNP
25,included,VBD
26,eBook,FW
27,online,JJ
28,Title,NNP
29,Author,NNP
30,Release,NNP
31,Date,NNP
32,August,NNP
33,Last,JJ
34,Updated,NNP
35,November,NNP
36,Language,NNP
37,English,NNP
38,Character,NNP
39,set,VBD
40,encoding,VBG
