,0,1
0,Project,NN
1,Gutenbergs,NNP
2,Adventures,NNP
3,Sherlock,NNP
4,Holmes,NNP
5,Conan,NNP
6,Doyle,NNP
7,This,DT
8,eBook,NN
9,use,NN
10,anyone,NN
11,anywhere,RB
12,cost,VBZ
13,almost,RB
14,restrictions,NNS
15,whatsoever,IN
16,You,PRP
17,may,MD
18,copy,VB
19,give,VB
20,away,RP
21,reuse,NN
22,terms,NNS
23,Project,NNP
24,Gutenberg,NNP
25,License,NNP
26,included,VBD
27,eBook,FW
28,online,JJ
29,Title,NNP
30,Illustrated,NNP
31,Author,NNP
32,Release,NNP
33,Date,NNP
34,February,NNP
35,EBook,NNP
36,Language,NNP
37,English,NNP
38,Character,NNP
39,set,VBD
40,encoding,VBG
